prompt,completion
Author is TIMUS. Date is 1st November 2022. Message is???,Je me baladais dans une ruelle tranquille dans le 14
Author is TIMUS. Date is 1st November 2022. Message is???,Quoi c'est iTunes que tu comprends pas ?
Author is TIMUS. Date is 1st November 2022. Message is???,"T'es dur, la synchronisation c'est naturel as fuck"
Author is TIMUS. Date is 1st November 2022. Message is???,Genre tu branches le tel
Author is TIMUS. Date is 1st November 2022. Message is???,Et il fait une sync
Author is TIMUS. Date is 1st November 2022. Message is???,Mais j'ai jamais compris ce qu'il synchronisait
Author is SKOUILLE. Date is 1st December 2022. Message is???,Y a un mec dans ma team il a une voix de gars qui mange des cigares allumés
Author is SKOUILLE. Date is 1st December 2022. Message is???,A côté Stalone c'est une voix de pucelle
Author is SKOUILLE. Date is 1st December 2022. Message is???,Y me fait peur ce fdp on dirait qu'il va mettre des droites à quelqu'un d'une seconde à l'autre
Author is GOLDN. Date is 1st October 2022. Message is???,rah quel timing horrible
Author is GOLDN. Date is 1st October 2022. Message is???,j’suis degz
Author is GOLDN. Date is 1st October 2022. Message is???,j’arrive
Author is GOLDN. Date is 1st October 2022. Message is???,Lessgo
Author is KWEKWE. Date is 1st July 2022. Message is???,J'ai le PC temporairement au placard. Dès qu'il revient chuicho
Author is KWEKWE. Date is 1st July 2022. Message is???,Il me semble que c'est la suite de Vermintide
Author is KWEKWE. Date is 1st July 2022. Message is???,"On l'avait bien ponsé, c'etait top"
Author is KWEKWE. Date is 1st July 2022. Message is???,Le respect se perd
Author is TIMUS. Date is 1st November 2022. Message is???,Les mecs
Author is TIMUS. Date is 1st November 2022. Message is???,faut jouer à Sea of thieves
Author is TIMUS. Date is 1st November 2022. Message is???,C'est méga bien
Author is TIMUS. Date is 1st November 2022. Message is???,je déteste les jeux de bateau en temps normal mais là y'a un côté un peu Rust pas désagréable
Author is TIMUS. Date is 1st November 2022. Message is???,ça te plairait bien @Goldn 20 euros sur steam
Author is TIMUS. Date is 1st November 2022. Message is???,tu veux test ou quoi ?
Author is KWEKWE. Date is 1st July 2022. Message is???,@Fredo le Big Tasty est de retour
Author is KWEKWE. Date is 1st July 2022. Message is???,Just for you to know
Author is KWEKWE. Date is 1st July 2022. Message is???,Ya des gens de dispo la semaine entre noel et le jour de l'an dans le sud @here ?
Author is KWEKWE. Date is 1st July 2022. Message is???,"Fini le rap de rue, maintenant, c'est le rap de roux"
Author is KWEKWE. Date is 1st July 2022. Message is???,je ferais un bon iranien aussi apparement
Author is KWEKWE. Date is 1st July 2022. Message is???,c'est marrant qu'il foute du bide a magnum
Author is SKOUILLE. Date is 1st December 2022. Message is???,on dirait que tu chie une crotte oversize en regrettant d'avoir mis autant de piment
Author is SKOUILLE. Date is 1st December 2022. Message is???,ce serait mieux avec un boitier moins kikoo mais sinon c'est pas mal
Author is SKOUILLE. Date is 1st December 2022. Message is???,"c'est bien pour les enfants de 12 ans, ca fait de la lumiere partout"
Author is SKOUILLE. Date is 1st December 2022. Message is???,ok jviens de recevoir l'offre officielle pour le job
Author is SKOUILLE. Date is 1st December 2022. Message is???,c'est pas une larme c'est juste que je découpe des oignons
Author is SKOUILLE. Date is 1st December 2022. Message is???,franchement tous les COD t'as au moins 5h de gameplay marrant
Author is SKOUILLE. Date is 1st December 2022. Message is???,juste le temps d'apprendre toutes les armes et de faire le con avec tous les trucs
Author is SKOUILLE. Date is 1st December 2022. Message is???,mais apres y en a que certains qui valent le coup d'aller plus loin
Author is SKOUILLE. Date is 1st December 2022. Message is???,70e pour 5 heures c'est pas super compatible avec la kipa
Author is TIMUS. Date is 1st November 2022. Message is???,Nul ou bon c'est pas le problème
Author is TIMUS. Date is 1st November 2022. Message is???,C'est le jeu
Author is TIMUS. Date is 1st November 2022. Message is???,Je prends pas de plaisir
Author is TIMUS. Date is 1st November 2022. Message is???,Et quand c'est avec les gg c'est pire
Author is TIMUS. Date is 1st November 2022. Message is???,A la limite tu me dis on se fait un FFA à 10 go
Author is TIMUS. Date is 1st November 2022. Message is???,"mais faire du MM avec les gg et tomber avec un pick .ru ou des cheaters, NOPE"
Author is TIMUS. Date is 1st November 2022. Message is???,lance le maintenant.
Author is TIMUS. Date is 1st November 2022. Message is???,on se revoit la semaine prochain
Author is TIMUS. Date is 1st November 2022. Message is???,azy je le prends NIQUE SA MERE
Author is TIMUS. Date is 1st November 2022. Message is???,ACTIVISION TU PRENDS MES THUNES MAIS TU PRENDRAS PAS MON ÂME FDP
Author is TIMUS. Date is 1st November 2022. Message is???,Marre des petits jeux indépendants de hipster
Author is TIMUS. Date is 1st November 2022. Message is???,Je vais m'envoyer un triple A de fdp
Author is KWEKWE. Date is 1st July 2022. Message is???,Il en fait du GPU pour me rendre bogossss
Author is KWEKWE. Date is 1st July 2022. Message is???,AI enhanced pictures: le futur de Tinder
Author is KWEKWE. Date is 1st July 2022. Message is???,"Ben voilà, tu cherchais a monetiser midjourney"
Author is KWEKWE. Date is 1st July 2022. Message is???,"Putain, mais @Fredo"
Author is KWEKWE. Date is 1st July 2022. Message is???,"No joke, ya moyen de devenir riche"
Author is KWEKWE. Date is 1st July 2022. Message is???,Monsieur taupe du net
Author is KWEKWE. Date is 1st July 2022. Message is???,Alfredo
Author is KWEKWE. Date is 1st July 2022. Message is???,Need your best taupe skills
Author is KWEKWE. Date is 1st July 2022. Message is???,C'est pas ça mais on s'en rapproche
Author is KWEKWE. Date is 1st July 2022. Message is???,Je pense que cette video a marqué nos esprits pour l'eternité
Author is KWEKWE. Date is 1st July 2022. Message is???,@sandvige le lien est pas bon. C'est un jpg
Author is KWEKWE. Date is 1st July 2022. Message is???,Faut fouiller deeper
Author is KWEKWE. Date is 1st July 2022. Message is???,Dfu@wanadoo
Author is KWEKWE. Date is 1st July 2022. Message is???,On voit pas la taille
Author is KWEKWE. Date is 1st July 2022. Message is???,Dfu.quakenet.log
Author is KWEKWE. Date is 1st July 2022. Message is???,Efface ça direkt!
Author is KWEKWE. Date is 1st July 2022. Message is???,Ya pu ka esperer que le lien soit toujours vivant
Author is SKOUILLE. Date is 1st December 2022. Message is???,bon bah ca gagne pas hackasat cette annee
Author is SKOUILLE. Date is 1st December 2022. Message is???,quel bourbier
Author is SKOUILLE. Date is 1st December 2022. Message is???,tu peux trouver des dotfiles pour tmux qui configurent tout le truc de maniere un peu plus optimale
Author is SKOUILLE. Date is 1st December 2022. Message is???,j'ai jamais vu cet ecran dans tmux mais en meme temps je tombe sur des nouveaux trucs toutes les semaines alors que je l'utilise depuis 5 ans
